Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1734459944,10,,Aggregated,2.600000,0.300000,3700,4600,5000,5400,6400,7800,8800,9900,11000,11000,11000,272,37,3700.0,3876.613113191792,358.18605800159276,11364.969709000434,4137.183823529412
1734459945,10,,Aggregated,2.600000,0.300000,3700,4600,5000,5400,6400,7800,8800,9900,11000,11000,11000,273,37,3700.0,3878.89160755736,358.18605800159276,11364.969709000434,4162.516483516483
1734459946,10,,Aggregated,2.300000,0.200000,3700,4500,5000,5300,6400,7800,8800,9900,11000,11000,11000,276,38,3700.0,3879.329324025858,358.18605800159276,11364.969709000434,4119.56884057971
1734459947,10,,Aggregated,2.600000,0.100000,3700,4500,5000,5300,6400,7800,8800,9900,11000,11000,11000,278,40,3700.0,3879.131774162403,358.18605800159276,11364.969709000434,4090.6510791366904
1734459948,10,,Aggregated,2.600000,0.200000,3700,4500,5000,5300,6400,7800,8800,9900,11000,11000,11000,279,40,3700.0,3878.7444747138306,358.18605800159276,11364.969709000434,4231.028673835125
1734459949,10,,Aggregated,2.100000,0.300000,3700,4600,5000,5300,6400,7700,8800,9900,11000,11000,11000,282,40,3700.0,3886.142870702728,358.18605800159276,11364.969709000434,4206.443262411348
1734459950,10,,Aggregated,2.100000,0.300000,3700,4600,5000,5300,6400,7700,8800,9900,11000,11000,11000,282,40,3700.0,3886.142870702728,358.18605800159276,11364.969709000434,4206.443262411348
1734459951,10,,Aggregated,2.100000,0.300000,3700,4600,5000,5300,6400,7700,8800,9900,11000,11000,11000,282,40,3700.0,3886.142870702728,358.18605800159276,11364.969709000434,4206.443262411348
1734459952,10,,Aggregated,2.100000,0.400000,3700,4600,5000,5300,6400,7700,8800,9900,11000,11000,11000,291,42,3700.0,3914.3098849662993,358.18605800159276,11364.969709000434,4171.8247422680415
1734459953,10,,Aggregated,2.100000,0.400000,3700,4600,5000,5300,6400,7700,8800,9900,11000,11000,11000,291,42,3700.0,3914.3098849662993,358.18605800159276,11364.969709000434,4171.8247422680415
1734459954,10,,Aggregated,2.700000,0.600000,3700,4600,5000,5300,6400,7700,8800,9900,11000,11000,11000,297,42,3700.0,3889.5053085023396,358.18605800159276,11364.969709000434,4179.3367003367
1734459955,10,,Aggregated,2.400000,0.600000,3700,4600,5000,5300,6400,7700,8800,9900,11000,11000,11000,300,42,3700.0,3883.9271643706397,358.18605800159276,11364.969709000434,4211.746666666667
1734459956,10,,Aggregated,2.700000,0.600000,3700,4500,5000,5200,6400,7600,8800,9600,11000,11000,11000,302,43,3700.0,3879.0429238350343,358.18605800159276,11364.969709000434,4185.672185430463
1734459957,10,,Aggregated,2.400000,0.500000,3600,4500,5000,5200,6400,7600,8800,9600,11000,11000,11000,307,43,3600.0,3871.760530235091,358.18605800159276,11364.969709000434,4332.5798045602605
1734459958,10,,Aggregated,2.400000,0.500000,3600,4500,5000,5200,6400,7600,8800,9600,11000,11000,11000,307,43,3600.0,3871.760530235091,358.18605800159276,11364.969709000434,4332.5798045602605
1734459959,10,,Aggregated,2.500000,0.400000,3700,4500,5000,5200,6400,7600,8800,9600,11000,11000,11000,308,43,3600.0,3872.8629351823542,358.18605800159276,11364.969709000434,4325.974025974026
1734459960,10,,Aggregated,2.500000,0.400000,3700,4500,5000,5200,6400,7600,8800,9600,11000,11000,11000,308,43,3600.0,3872.8629351823542,358.18605800159276,11364.969709000434,4325.974025974026
1734459961,10,,Aggregated,2.500000,0.400000,3700,4500,5000,5200,6400,7600,8800,9600,11000,11000,11000,308,43,3600.0,3872.8629351823542,358.18605800159276,11364.969709000434,4325.974025974026
1734459962,10,,Aggregated,2.600000,0.300000,3700,4500,5000,5300,6400,7600,8800,9600,11000,11000,11000,311,44,3700.0,3899.0949334153634,358.18605800159276,11364.969709000434,4293.247588424438
1734459963,10,,Aggregated,2.600000,0.300000,3700,4600,5000,5400,6400,7600,8800,9600,11000,11000,11000,314,46,3700.0,3919.1169850961082,358.18605800159276,11364.969709000434,4287.547770700637
1734459964,10,,Aggregated,2.000000,0.100000,3700,4600,5000,5400,6500,7600,8800,9600,11000,11000,11000,315,46,3700.0,3928.0071786323015,358.18605800159276,11364.969709000434,4274.504761904762
1734459965,10,,Aggregated,2.000000,0.100000,3700,4600,5000,5400,6500,7600,8800,9600,11000,11000,11000,315,46,3700.0,3928.0071786323015,358.18605800159276,11364.969709000434,4274.504761904762
1734459966,10,,Aggregated,2.000000,0.400000,3700,4600,5100,5500,6500,7800,8800,9600,11000,11000,11000,317,46,3700.0,3956.217950770246,358.18605800159276,11364.969709000434,4255.927444794953
1734459967,10,,Aggregated,1.800000,0.400000,3700,4600,5000,5500,6500,7700,8800,9600,11000,11000,11000,325,48,3700.0,3977.5905323234965,358.18605800159276,11364.969709000434,4328.2738461538465
1734459968,10,,Aggregated,1.500000,0.400000,3700,4600,5000,5400,6500,7700,8800,9600,11000,11000,11000,330,49,3700.0,3946.920563167122,358.18605800159276,11364.969709000434,4405.948484848484
1734459969,10,,Aggregated,1.500000,0.400000,3700,4600,5000,5400,6500,7700,8800,9600,11000,11000,11000,331,49,3700.0,3940.7971606439855,358.18605800159276,11364.969709000434,4426.030211480363
1734459970,10,,Aggregated,1.500000,0.400000,3700,4600,5000,5400,6500,7700,8800,9600,11000,11000,11000,331,49,3700.0,3940.7971606439855,358.18605800159276,11364.969709000434,4426.030211480363
